anio;mes;dia;barra;tension;valor
2024;3;19;CRUCERO_______220;220;61,06
2024;3;31;ATACAMA_______220;220;47,76
2024;3;2;CRUCERO_______220;220;48,36
2024;3;24;P.MONTT_______220;220;34,24
2024;3;7;P.MONTT_______220;220;102,04
2024;3;14;ATACAMA_______220;220;39,93
2024;3;4;TARAPACA______220;220;50,70
2024;3;21;CARDONES______220;220;65,94
2024;3;31;P.AZUCAR______220;220;47,55
2024;3;4;CARDONES______220;220;47,71
2024;3;17;QUILLOTA______220;220;41,44
2024;3;21;TARAPACA______220;220;70,84
2024;3;17;CHARRUA_______220;220;39,26
2024;3;16;P.MONTT_______220;220;48,26
2024;3;14;P.AZUCAR______220;220;37,87
2024;3;27;CRUCERO_______220;220;51,78
2024;3;23;ATACAMA_______220;220;52,89
2024;3;10;CRUCERO_______220;220;44,34
2024;3;12;TARAPACA______220;220;46,43
2024;3;6;ATACAMA_______220;220;42,82
2024;3;13;CARDONES______220;220;39,95
2024;3;26;QUILLOTA______220;220;51,39
2024;3;30;CARDONES______220;220;45,48
2024;3;5;P.AZUCAR______220;220;42,53
2024;3;25;P.MONTT_______220;220;69,89
2024;3;9;QUILLOTA______220;220;41,03
2024;3;29;TARAPACA______220;220;58,94
2024;3;8;P.MONTT_______220;220;33,94
2024;3;22;P.AZUCAR______220;220;88,60
2024;3;9;CHARRUA_______220;220;39,47
2024;3;26;CHARRUA_______220;220;50,67
2024;3;20;CRUCERO_______220;220;63,17
2024;3;3;CRUCERO_______220;220;42,23
2024;3;15;ATACAMA_______220;220;44,73
2024;3;23;P.MONTT_______220;220;48,17
2024;3;20;CARDONES______220;220;60,16
2024;3;3;CARDONES______220;220;40,50
2024;3;6;P.MONTT_______220;220;110,05
2024;3;18;QUILLOTA______220;220;57,96
2024;3;22;TARAPACA______220;220;94,10
2024;3;15;P.AZUCAR______220;220;41,91
2024;3;1;QUILLOTA______220;220;44,62
2024;3;5;TARAPACA______220;220;45,50
2024;3;1;CHARRUA_______220;220;42,67
2024;3;18;CHARRUA_______220;220;55,82
