ds,temperatura,humedad,velocidad_viento,precipitacion,nubosidad
2020-01-01,16.191666666666666,86.58333333333333,8.170833333333333,0.0,16.625
2020-01-02,16.508333333333333,84.08333333333333,7.558333333333334,0.0,15.0
2020-01-03,18.304166666666667,82.79166666666667,17.004166666666666,0.0,15.833333333333334
2020-01-04,17.804166666666667,74.625,26.445833333333336,0.0,0.8333333333333334
2020-01-05,15.158333333333333,72.75,22.145833333333332,0.0,20.458333333333332
2020-01-06,15.4125,75.16666666666667,15.291666666666666,0.0,6.291666666666667
2020-01-07,15.6875,80.16666666666667,12.266666666666666,0.0,18.416666666666668
2020-01-08,14.4375,93.0,14.825000000000001,12.5,81.0
2020-01-09,14.395833333333334,80.58333333333333,11.883333333333333,0.0,18.833333333333332
2020-01-10,15.929166666666667,74.33333333333333,17.983333333333334,0.0,0.125
2020-01-11,17.066666666666666,79.75,12.966666666666667,0.0,0.5
2020-01-12,16.849999999999998,85.45833333333333,11.6875,0.0,19.375
2020-01-13,16.570833333333333,83.45833333333333,20.591666666666665,0.0,29.208333333333332
2020-01-14,16.308333333333334,80.20833333333333,22.724999999999998,0.0,14.166666666666666
2020-01-15,15.929166666666667,63.916666666666664,22.358333333333334,0.0,0.0
2020-01-16,19.041666666666668,52.416666666666664,19.704166666666666,0.0,0.0
2020-01-17,17.45,71.91666666666667,7.341666666666666,0.0,0.041666666666666664
2020-01-18,18.379166666666666,77.08333333333333,10.758333333333333,0.0,44.125
2020-01-19,17.595833333333335,76.20833333333333,9.233333333333333,0.0,45.958333333333336
2020-01-20,16.6125,78.45833333333333,9.279166666666667,0.0,13.375
2020-01-21,18.7,75.20833333333333,8.454166666666667,0.0,0.20833333333333334
2020-01-22,17.445833333333333,87.45833333333333,11.741666666666667,0.0,39.458333333333336
2020-01-23,15.9,88.45833333333333,7.8875,0.0,74.625
2020-01-24,18.779166666666665,72.08333333333333,16.787499999999998,0.0,12.291666666666666
2020-01-25,18.675,74.875,15.762500000000001,0.0,0.16666666666666666
2020-01-26,19.479166666666668,78.83333333333333,16.058333333333334,0.0,25.083333333333332
2020-01-27,19.754166666666666,66.25,18.770833333333332,0.0,16.708333333333332
2020-01-28,18.083333333333332,78.0,22.525000000000002,0.0,19.791666666666668
2020-01-29,16.558333333333334,66.33333333333333,16.075,0.0,4.041666666666667
2020-01-30,17.212500000000002,67.625,12.025,0.0,0.75
2020-01-31,18.724999999999998,77.41666666666667,16.058333333333334,0.0,1.4583333333333333
2020-02-01,17.204166666666666,90.375,14.516666666666666,0.0,58.333333333333336
2020-02-02,15.945833333333333,79.45833333333333,11.049999999999999,0.0,8.875
2020-02-03,16.154166666666665,84.33333333333333,10.112499999999999,0.8,42.25
2020-02-04,16.05,76.875,13.504166666666668,0.7999999999999999,41.958333333333336
2020-02-05,15.25,69.83333333333333,17.837500000000002,0.0,8.916666666666666
2020-02-06,14.979166666666666,75.04166666666667,15.5625,0.0,0.08333333333333333
2020-02-07,16.858333333333334,71.29166666666667,11.9375,0.0,0.08333333333333333
2020-02-08,18.154166666666665,66.16666666666667,9.504166666666666,0.0,0.08333333333333333
2020-02-09,18.733333333333334,77.91666666666667,13.6,0.0,16.291666666666668
2020-02-10,18.6875,79.83333333333333,14.229166666666666,0.0,7.416666666666667
2020-02-11,18.008333333333333,81.16666666666667,14.512500000000001,0.0,7.583333333333333
2020-02-12,17.483333333333334,73.125,25.995833333333334,0.0,23.125
2020-02-13,15.9,69.91666666666667,19.779166666666665,0.0,0.0
2020-02-14,16.083333333333332,75.25,17.258333333333333,0.0,0.0
2020-02-15,16.662499999999998,81.79166666666667,17.1875,0.0,0.2916666666666667
2020-02-16,16.4375,83.0,13.766666666666666,0.0,2.125
2020-02-17,16.058333333333334,76.625,16.645833333333332,2.0,21.5
2020-02-18,17.266666666666666,63.0,19.920833333333334,0.0,1.9166666666666667
2020-02-19,17.933333333333334,68.79166666666667,16.95,0.0,0.0
2020-02-20,18.3125,56.333333333333336,11.775,0.0,0.0
2020-02-21,15.191666666666668,83.75,12.670833333333334,0.0,8.375
2020-02-22,15.158333333333333,89.33333333333333,8.583333333333334,0.0,61.875
2020-02-23,15.145833333333334,86.08333333333333,11.2875,0.0,23.166666666666668
2020-02-24,15.645833333333334,78.20833333333333,17.25,0.0,34.583333333333336
2020-02-25,16.316666666666666,75.29166666666667,13.708333333333334,0.0,0.16666666666666666
2020-02-26,16.962500000000002,70.20833333333333,11.754166666666668,0.0,20.958333333333332
2020-02-27,17.208333333333332,76.75,8.299999999999999,0.0,0.125
2020-02-28,19.1375,75.79166666666667,10.75,0.0,0.0
2020-02-29,17.0,79.54166666666667,10.508333333333333,0.0,10.75
2020-03-01,14.387500000000001,90.70833333333333,10.504166666666666,0.0,97.04166666666667
2020-03-02,14.895833333333334,93.66666666666667,7.3625,0.0,97.70833333333333
2020-03-03,15.987499999999999,86.25,9.858333333333333,0.0,47.875
2020-03-04,17.245833333333334,77.33333333333333,15.216666666666667,0.0,4.083333333333333
2020-03-05,18.654166666666665,79.33333333333333,15.654166666666667,0.0,49.75
2020-03-06,17.183333333333334,82.04166666666667,16.400000000000002,0.0,67.83333333333333
2020-03-07,18.104166666666668,76.95833333333333,15.75,0.0,33.291666666666664
2020-03-08,16.724999999999998,73.25,11.095833333333333,0.0,17.958333333333332
2020-03-09,16.745833333333334,78.08333333333333,10.191666666666666,0.0,19.125
2020-03-10,17.229166666666668,78.25,13.0375,0.0,46.208333333333336
2020-03-11,17.220833333333335,87.91666666666667,9.804166666666665,0.0,60.625
2020-03-12,16.099999999999998,90.08333333333333,8.229166666666666,0.0,89.625
2020-03-13,17.066666666666666,89.20833333333333,11.516666666666666,0.8,67.45833333333333
