Fecha;Reservorio;Agua Caída (mm)
01-01-2020;Canutillar;0.00
02-01-2020;Canutillar;0.00
03-01-2020;Canutillar;0.00
04-01-2020;Canutillar;0.00
05-01-2020;Canutillar;28.00
06-01-2020;Canutillar;3.00
07-01-2020;Canutillar;37.00
08-01-2020;Canutillar;53.50
09-01-2020;Canutillar;25.50
10-01-2020;Canutillar;0.00
11-01-2020;Canutillar;0.00
12-01-2020;Canutillar;0.00
13-01-2020;Canutillar;8.00
14-01-2020;Canutillar;13.00
15-01-2020;Canutillar;0.00
16-01-2020;Canutillar;0.00
17-01-2020;Canutillar;0.00
18-01-2020;Canutillar;0.00
19-01-2020;Canutillar;0.00
20-01-2020;Canutillar;0.00
21-01-2020;Canutillar;0.00
22-01-2020;Canutillar;0.00
23-01-2020;Canutillar;0.00
24-01-2020;Canutillar;0.00
25-01-2020;Canutillar;0.00
26-01-2020;Canutillar;0.00
27-01-2020;Canutillar;21.00
28-01-2020;Canutillar;1.00
29-01-2020;Canutillar;0.00
30-01-2020;Canutillar;5.00
31-01-2020;Canutillar;2.00
01-02-2020;Canutillar;15.00
02-02-2020;Canutillar;23.00
03-02-2020;Canutillar;28.00
04-02-2020;Canutillar;13.50
05-02-2020;Canutillar;0.00
06-02-2020;Canutillar;0.00
07-02-2020;Canutillar;0.00
08-02-2020;Canutillar;0.00
09-02-2020;Canutillar;0.00
10-02-2020;Canutillar;0.00
11-02-2020;Canutillar;9.00
12-02-2020;Canutillar;13.50
13-02-2020;Canutillar;0.00
14-02-2020;Canutillar;18.50
15-02-2020;Canutillar;9.50
16-02-2020;Canutillar;0.00
17-02-2020;Canutillar;0.00
18-02-2020;Canutillar;2.00
19-02-2020;Canutillar;0.00
20-02-2020;Canutillar;0.00
21-02-2020;Canutillar;0.00
22-02-2020;Canutillar;0.00
23-02-2020;Canutillar;6.00
24-02-2020;Canutillar;1.00
25-02-2020;Canutillar;0.00
26-02-2020;Canutillar;0.00
27-02-2020;Canutillar;0.00
28-02-2020;Canutillar;0.00
29-02-2020;Canutillar;0.00
01-03-2020;Canutillar;0.00
02-03-2020;Canutillar;0.00
03-03-2020;Canutillar;0.00
04-03-2020;Canutillar;0.00
05-03-2020;Canutillar;0.00
06-03-2020;Canutillar;5.50
07-03-2020;Canutillar;0.00
08-03-2020;Canutillar;0.00
09-03-2020;Canutillar;0.00
10-03-2020;Canutillar;3.00
11-03-2020;Canutillar;2.00
12-03-2020;Canutillar;33.00
13-03-2020;Canutillar;22.50
14-03-2020;Canutillar;0.00
15-03-2020;Canutillar;0.00
16-03-2020;Canutillar;1.50
17-03-2020;Canutillar;0.00
18-03-2020;Canutillar;0.00
19-03-2020;Canutillar;0.00
20-03-2020;Canutillar;0.00
21-03-2020;Canutillar;0.00
22-03-2020;Canutillar;0.00
