Barra,Conjunto,n,n_negativos,MAE_orig,MAE_clip,RMSE_orig,RMSE_clip,R2_orig,R2_clip
ATACAMA,train,38724,2327,30.995187808519596,30.39771726086134,41.41794136634222,41.045709890973285,0.5141178020926915,0.5228120020313842
ATACAMA,val,8298,1326,22.99415579584674,21.335033150483852,42.612217121932964,42.29163967056621,0.39316976596615805,0.4022659520986742
ATACAMA,test,8298,1922,19.8592071458179,16.39245706014764,29.953013567036944,28.688932558118275,0.48375922169093744,0.5264127087344106
CARDONES,train,38724,2424,30.976488489494567,30.31640082597414,41.30257824427476,40.92028998159567,0.5226399238637881,0.5314357240610117
CARDONES,val,8298,981,22.739344267518895,21.601286855741684,37.44758172553274,37.20774710539978,0.44200116365521325,0.44912572983853494
CARDONES,test,8298,1189,21.454125300200385,19.951170440178277,30.530340466670914,30.087844802828187,0.4553255272496085,0.47099973781499127
CHARRUA,train,38724,1037,31.811928881960142,31.583305155990523,43.71664682179006,43.610653593746896,0.4662011929193668,0.4687864995884421
CHARRUA,val,8298,536,24.94959980308352,24.342730042133045,37.72667612912347,37.586130119555555,0.31744641605633217,0.32252247917242727
CHARRUA,test,8298,699,25.34668669407294,24.51201965385063,37.299056848719694,37.02267855061709,0.29087651870087194,0.3013465009617715
CRUCERO,train,38724,2651,31.17000562264771,30.45655604692995,41.677856676350224,41.23063971650652,0.540393313651472,0.5502038530992396
CRUCERO,val,8298,853,23.65203733580372,22.831261128516452,42.255567589595614,42.12652200038011,0.41315566176194707,0.4167345528344897
CRUCERO,test,8298,964,23.07279474432512,22.103647873563407,32.14262349705895,31.9363364059168,0.41629425733150605,0.42376250702000007
P.AZUCAR,train,38724,1971,31.342147898815917,30.831790214482364,42.287260975144086,41.98343525204743,0.506666688493796,0.513730229189628
P.AZUCAR,val,8298,667,23.365115770924618,22.731794134450986,37.32789602290027,37.21187348145603,0.4124271532775772,0.4160740638513889
P.AZUCAR,test,8298,708,23.100297820241384,22.43755016705698,31.93302591980338,31.786295567816047,0.4082460594886038,0.4136717137218222
P.MONTT,train,38724,1029,50.82349638770568,50.440388964418894,67.8076664924407,67.61671416471783,0.5491129500246426,0.5516488491794732
P.MONTT,val,8298,270,46.50067651069642,46.00436417600347,63.13287624198675,62.88009768988488,0.21581378252234096,0.22208083796647282
P.MONTT,test,8298,144,48.15334868273868,47.89362753645467,61.890722377595225,61.71461222871817,-0.016372962398547353,-0.01059701008845959
QUILLOTA,train,38724,1155,31.487358103553802,31.244080446682947,43.01344883213299,42.87644730669364,0.4794270142387107,0.4827378724028847
QUILLOTA,val,8298,568,24.42046076226645,23.86658544623597,37.74900798341289,37.64036709455813,0.3362941808608726,0.3401089476456811
QUILLOTA,test,8298,902,24.282822912146877,23.22407515858062,37.178517898556265,36.82046444741124,0.3165572493822011,0.32965786206007286
TARAPACA,train,38724,2872,31.987610556648008,31.17922317127315,42.706435637068424,42.19738122332876,0.5460836979160487,0.5568404349183447
TARAPACA,val,8298,1000,24.647568165337887,23.6052005260361,44.13017592709412,43.9662441795808,0.431311195821402,0.4355284006004848
TARAPACA,test,8298,1151,23.184746075620296,21.864357432191436,33.17011833882998,32.876663205627764,0.45965458385952684,0.46917313395270765
