Barra,Variante,Seed,MAE
ATACAMA,LN,1,6.541256514977018
ATACAMA,LN,2,6.54187310548655
ATACAMA,LN,3,6.499229363133229
ATACAMA,LN,4,6.744006961556797
ATACAMA,LN,5,6.830062280812589
ATACAMA,DyT,1,6.909672070731022
ATACAMA,DyT,2,6.921062891112664
ATACAMA,DyT,3,6.8844149597491615
ATACAMA,DyT,4,6.645514580263923
ATACAMA,DyT,5,6.8494634803446495
CHARRUA,LN,1,8.128566621682477
CHARRUA,LN,2,8.211115538366561
CHARRUA,LN,3,8.08698505485279
CHARRUA,LN,4,8.025751530759218
CHARRUA,LN,5,7.954044906513236
CHARRUA,DyT,1,8.228267804833314
CHARRUA,DyT,2,8.306274073764657
CHARRUA,DyT,3,8.173584378440857
CHARRUA,DyT,4,8.174665415780634
CHARRUA,DyT,5,8.159429145881026
P.MONTT,LN,1,14.464699954025773
P.MONTT,LN,2,13.918026695389377
P.MONTT,LN,3,13.892322432857503
P.MONTT,LN,4,13.703502780530906
P.MONTT,LN,5,13.815418901073413
P.MONTT,DyT,1,13.714693474336313
P.MONTT,DyT,2,13.828611994955045
P.MONTT,DyT,3,13.57140382332295
P.MONTT,DyT,4,13.959501119058775
P.MONTT,DyT,5,13.794550793110592
