Experimento,Arq,Barra,h,MAE,MASE,Horizonte_h,MAE_modelo,MAE_persistencia24,skill
h24_original,LN,ATACAMA,1.0,9.92,0.803,,,,
h24_original,LN,ATACAMA,2.0,11.39,0.922,,,,
h24_original,LN,ATACAMA,3.0,12.2,0.987,,,,
h24_original,LN,ATACAMA,4.0,12.58,1.018,,,,
h24_original,LN,ATACAMA,5.0,12.88,1.043,,,,
h24_original,LN,ATACAMA,6.0,13.07,1.058,,,,
h24_original,LN,ATACAMA,7.0,13.2,1.068,,,,
h24_original,LN,ATACAMA,8.0,13.31,1.078,,,,
h24_original,LN,ATACAMA,9.0,13.47,1.09,,,,
h24_original,LN,ATACAMA,10.0,13.59,1.1,,,,
h24_original,LN,ATACAMA,11.0,13.67,1.107,,,,
h24_original,LN,ATACAMA,12.0,13.76,1.114,,,,
h24_original,LN,ATACAMA,13.0,13.81,1.118,,,,
h24_original,LN,ATACAMA,14.0,13.91,1.126,,,,
h24_original,LN,ATACAMA,15.0,14.03,1.136,,,,
h24_original,LN,ATACAMA,16.0,14.11,1.143,,,,
h24_original,LN,ATACAMA,17.0,14.19,1.149,,,,
h24_original,LN,ATACAMA,18.0,14.29,1.157,,,,
h24_original,LN,ATACAMA,19.0,14.42,1.167,,,,
h24_original,LN,ATACAMA,20.0,14.53,1.176,,,,
h24_original,LN,ATACAMA,21.0,14.66,1.187,,,,
h24_original,LN,ATACAMA,22.0,14.7,1.19,,,,
h24_original,LN,ATACAMA,23.0,14.67,1.188,,,,
h24_original,LN,ATACAMA,24.0,14.64,1.185,,,,
h24_original,LN,CHARRUA,1.0,13.71,0.717,,,,
h24_original,LN,CHARRUA,2.0,15.27,0.798,,,,
h24_original,LN,CHARRUA,3.0,16.23,0.848,,,,
h24_original,LN,CHARRUA,4.0,16.9,0.883,,,,
h24_original,LN,CHARRUA,5.0,17.3,0.904,,,,
h24_original,LN,CHARRUA,6.0,17.57,0.918,,,,
h24_original,LN,CHARRUA,7.0,17.82,0.931,,,,
h24_original,LN,CHARRUA,8.0,18.03,0.942,,,,
h24_original,LN,CHARRUA,9.0,18.22,0.952,,,,
h24_original,LN,CHARRUA,10.0,18.4,0.962,,,,
h24_original,LN,CHARRUA,11.0,18.61,0.973,,,,
h24_original,LN,CHARRUA,12.0,18.76,0.98,,,,
h24_original,LN,CHARRUA,13.0,18.92,0.989,,,,
h24_original,LN,CHARRUA,14.0,19.12,0.999,,,,
h24_original,LN,CHARRUA,15.0,19.23,1.005,,,,
h24_original,LN,CHARRUA,16.0,19.34,1.011,,,,
h24_original,LN,CHARRUA,17.0,19.42,1.015,,,,
h24_original,LN,CHARRUA,18.0,19.49,1.019,,,,
h24_original,LN,CHARRUA,19.0,19.57,1.023,,,,
