Experimento,Arq,Barra,MAE_promedio_24h,MAE_paso1,MAE_paso24,MASE_promedio,skill_promedio
h24_original,DyT,ATACAMA,12.692916666666669,10.18,13.23,1.0276666666666667,-0.0276666666666667
h24_original,DyT,CHARRUA,18.73375,13.15,19.25,0.979,0.021
h24_original,DyT,P.AZUCAR,13.67125,10.16,14.6,1.0387916666666668,-0.0387916666666667
h24_original,DyT,P.MONTT,40.07583333333333,23.08,42.22,1.073625,-0.073625
h24_original,DyT,TARAPACA,13.784999999999998,11.38,14.18,1.0535416666666666,-0.0535416666666666
h24_original,LN,ATACAMA,13.541666666666666,9.92,14.64,1.09625,-0.0962499999999999
h24_original,LN,CHARRUA,18.410416666666663,13.71,20.26,0.9621666666666666,0.0378333333333333
h24_original,LN,P.AZUCAR,13.637916666666667,9.82,14.87,1.0364166666666668,-0.0364166666666667
h24_original,LN,P.MONTT,38.88541666666666,22.47,41.73,1.041875,-0.0418750000000001
h24_original,LN,TARAPACA,12.862916666666669,10.83,13.02,0.9832083333333334,0.0167916666666666
piloto_sin_outliers_h24,LN,ATACAMA,11.57751471778442,9.810251893020302,12.349287073425456,0.9372963809746055,0.0627036190253944
piloto_sin_outliers_h24,LN,CHARRUA,19.68862884484324,14.347908424456511,20.475322543052517,1.0288705147223511,-0.0288705147223511
piloto_sin_outliers_h24,LN,P.AZUCAR,14.146674632769448,11.225012172938944,15.408936514644113,1.0750084511630345,-0.0750084511630344
piloto_sin_outliers_h24,LN,TARAPACA,13.89505963684383,11.44825462225461,14.58275845740726,1.0620585248606151,-0.0620585248606151
