Barra,Conjunto,MAE,RMSE,MSE,MAPE,R2
ATACAMA,Train,32.00448818654227,45.3143560670763,2053.3908657737743,3.728942156071269e+16,0.226107982605807
ATACAMA,Val,54.61647268867903,65.34230651821025,4269.617021119741,1.3019481615374715e+17,-0.8126354096335464
ATACAMA,Test,70.58050948215262,80.32008050442163,6451.315332236771,1.826368731789248e+17,-2.253977729340358
CARDONES,Train,31.640248154465866,44.73203250746812,2000.9547322491849,3.5988479780997156e+16,0.23412184914651946
CARDONES,Val,50.29258627747478,60.28671975670739,3634.4885790237736,1.1657571675085142e+17,-0.3836181926769133
CARDONES,Test,57.319397340698295,67.93289743456944,4614.87855385573,1.581401145463171e+17,-1.3682987319865538
CHARRUA,Train,29.12724986760776,41.45258313098953,1718.3166482315976,2.6085570939071484e+16,0.3169269029473841
CHARRUA,Val,40.49034774401328,48.18246195865169,2321.5496403969178,6.346584031398068e+16,0.13295337886947112
CHARRUA,Test,34.82664142723344,44.016608231358056,1937.4618001928577,8.546895089369568e+16,-0.12385601445964589
CRUCERO,Train,32.95501137556908,46.29871722775603,2143.571216935713,3.715850153157924e+16,0.22773332385464584
CRUCERO,Val,51.39469786353821,61.687668288961085,3805.3684189288947,1.2126653950437798e+17,-0.3705704646901582
CRUCERO,Test,58.60218088226371,69.63829251899416,4849.491784960998,1.6202926295865987e+17,-1.3536606268678346
P.AZUCAR,Train,31.107742825932778,44.149127884412984,1949.145492954252,3.4476300558565524e+16,0.25505876282536355
P.AZUCAR,Val,47.68687300484281,57.70552458848877,3329.927568032682,1.0692786965972002e+17,-0.2676211720375359
P.AZUCAR,Test,50.35606976943091,61.317455764469116,3759.830381427627,1.4310916830465861e+17,-0.9937525651408372
P.MONTT,Train,48.047439499278404,64.34432430617056,4140.192070417653,2.731635534546843e+16,0.49725251260294734
P.MONTT,Val,46.36944900812102,56.42867551993746,3184.1954209343885,7.111136821982515e+16,0.3110240391118497
P.MONTT,Test,43.57324211847296,60.63018010711582,3676.0187398213025,4.879123052097954e+16,0.03852050620977776
QUILLOTA,Train,29.434170216977147,42.15658409869843,1777.1775828706332,2.8733353389784736e+16,0.3018133926462716
QUILLOTA,Val,41.00536039321346,49.278601313937955,2428.3805474580477,6.803902691711603e+16,0.07003658301460802
QUILLOTA,Test,35.91602027413973,45.9473384466696,2111.157910332802,9.397249052890483e+16,-0.1697250509095276
TARAPACA,Train,34.2820027244679,47.94164122146123,2298.4009630073106,3.902131227383885e+16,0.22091879137867887
TARAPACA,Val,55.14621634953977,65.95957601941012,4350.665668660342,1.3031470662326806e+17,-0.4635772698387748
TARAPACA,Test,66.69586227626921,77.58412359130153,6019.29623343035,1.7858135321312742e+17,-1.736754233594965
