Barra;Conjunto;MAE;RMSE;MSE;MAPE;R2
ATACAMA;Train;30,986033850719355;41,4172450813357;1715,3881901274262;2,831267995401875e+16;0,5141341384741948
ATACAMA;Val;21,628311491204357;32,43311389099947;1051,9068766665428;2,3499437966963764e+16;0,5220987284375276
ATACAMA;Test;19,717913218356845;28,04062105149065;786,2764289533005;2,6883362503270708e+16;0,5101364543124862
CARDONES;Train;30,976488489494567;41,30257824427476;1705,9029696244388;2,851226778203544e+16;0,5226399238637881
CARDONES;Val;21,887829255803748;31,15178642796086;970,4337976532865;2,737487711405282e+16;0,5257172163565776
CARDONES;Test;21,221826676675366;29,202631142525743;852,7936656464144;2,7377885542963016e+16;0,47480229598580326
CHARRUA;Train;31,86619802493011;43,740292076648146;1913,2131509504884;2,768261128150492e+16;0,4656235995691629
CHARRUA;Val;24,366310978468317;32,729488752195216;1071,219433980073;2,8881825358780324e+16;0,3699768736013499
CHARRUA;Test;25,229305706679874;36,12957420114323;1305,3461319559144;2,0581206768508276e+16;0,2947494948386138
CRUCERO;Train;31,251017563581822;41,66571369160776;1736,0316974310304;2,808453878907479e+16;0,5406610905672575
CRUCERO;Val;22,39476411703252;32,47310903517071;1054,5028104100854;2,6659984868559788e+16;0,5340988779366693
CRUCERO;Test;22,676858317235553;30,301377752377963;918,1734936923061;2,8084473735981676e+16;0,4407297355483699
P.AZUCAR;Train;31,419632893606586;42,2877863435131;1788,2568738346126;2,90874982642093e+16;0,5066544302712828
P.AZUCAR;Val;22,724339794189643;31,96471098321853;1021,7427482406913;2,6700754097008332e+16;0,4793197383088418
P.AZUCAR;Test;22,433543710988555;30,678127676423422;941,1475177309367;3,0052950903629984e+16;0,43452459172495506
P.MONTT;Train;50,822517235191896;67,79693220396658;4596,42401626924;3,978211512771558e+16;0,549255694018645
P.MONTT;Val;46,16209165034187;61,708141475104874;3807,894724311558;4,5852952641984264e+16;0,19989828274679433
P.MONTT;Test;47,81812295974053;62,06619671964443;3852,212775241601;4,358820652137217e+16;-0,022144431781299545
QUILLOTA;Train;31,487358103553802;43,01344883213299;1850,1567804345225;2,8061780532869628e+16;0,4794270142387107
QUILLOTA;Val;23,766999687308626;32,642614500434874;1065,540281424001;2,3975208271793464e+16;0,39706658405734097
QUILLOTA;Test;23,970552485538054;35,39926702640397;1253,1081060066513;1,7800450159743524e+16;0,3332532041266112
TARAPACA;Train;32,027293040129216;42,69775300520302;1823,0981116933233;2,8695091518004736e+16;0,5462682503119141
TARAPACA;Val;23,175334434730345;34,276923249023554;1174,9074674194515;2,833349617644418e+16;0,548158449365951
TARAPACA;Test;22,84493066137005;31,124808363604615;968,7536956711118;2,9256140019798424e+16;0,4866508203796519
